town_name_show,dist_km,むつ総合病院,中央クリニックモール,医療法人章士会 三上医院,みちのくクリニック,村中内科・心療内科医院,医療法人白心会北村医院 むつレディスクリニック,医療法人佑心会角田整形外科医院,千田病院,東通地域医療センター 東通村診療所,たなか泌尿器科クリニック
むつ市大字奥内字二又,4.842585431458438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字奥内字二又道,6.913053413691865,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字奥内字金谷沢,6.986287387637724,475.0,722.0,0.0,377.0,240.0,166.0,0.0,0.0,158.0,242.0
むつ市大字奥内字奥内,7.332093898280014,739.0,82.0,380.0,86.0,638.0,0.0,25.0,0.0,98.0,25.0
むつ市大字田名部字最花,7.6122234871086105,206.0,35.0,69.0,14.0,63.0,0.0,0.0,0.0,48.0,0.0
むつ市大字田名部字斗南岡,8.210118839676785,245.0,0.0,74.0,0.0,35.0,0.0,84.0,0.0,0.0,0.0
むつ市大字奥内字大室平,8.258241231883202,0.0,255.0,0.0,258.0,190.0,0.0,63.0,0.0,0.0,0.0
むつ市大字田名部字内田,8.336294810647164,181.0,23.0,0.0,21.0,22.0,0.0,0.0,11.0,0.0,0.0
むつ市大字田名部字赤川ノ内並木,8.721108858475416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字品ノ木,8.83893916489853,1182.0,727.0,528.0,690.0,541.0,95.0,92.0,28.0,53.0,41.0
むつ市大字奥内字近川,8.88443622984867,768.0,604.0,553.0,0.0,0.0,0.0,50.0,172.0,0.0,41.0
むつ市大字田名部字下川,8.990651541691161,1005.0,540.0,492.0,339.0,72.0,242.0,19.0,0.0,33.0,0.0
むつ市大字奥内字今泉,9.007359240528222,21.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
むつ市大字田名部字土手内,9.197576608360242,763.0,186.0,214.0,282.0,156.0,131.0,201.0,0.0,18.0,20.0
むつ市大曲三丁目,9.206944903041958,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
むつ市大曲二丁目,9.472672253360356,419.0,337.0,232.0,39.0,21.0,34.0,0.0,0.0,0.0,0.0
むつ市大字田名部字袰部,9.473684793162013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市横迎町二丁目,9.726350496641361,2319.0,816.0,712.0,149.0,233.0,94.0,64.0,69.0,139.0,0.0
むつ市大字田名部字上川,9.73571076288044,621.0,0.0,473.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市横迎町一丁目,9.76007201175903,1624.0,606.0,556.0,139.0,277.0,140.0,283.0,0.0,249.0,0.0
むつ市苫生一丁目,9.77345754013018,744.0,162.0,466.0,113.0,381.0,0.0,0.0,0.0,53.0,0.0
むつ市大曲一丁目,9.78196883594885,1565.0,945.0,380.0,386.0,106.0,235.0,155.0,31.0,85.0,0.0
むつ市苫生二丁目,9.982139737328113,529.0,460.0,736.0,281.0,32.0,235.0,264.0,30.0,0.0,69.0
むつ市金曲二丁目,10.00262655439789,767.0,66.0,105.0,365.0,187.0,31.0,32.0,50.0,31.0,128.0
むつ市大字奥内字浜奥内,10.031564289672064,438.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市柳町一丁目,10.348452492525286,520.0,53.0,464.0,0.0,0.0,252.0,45.0,0.0,44.0,0.0
むつ市柳町二丁目,10.352180456096207,1757.0,535.0,275.0,268.0,82.0,241.0,193.0,0.0,50.0,40.0
むつ市金曲三丁目,10.354989120991373,2098.0,412.0,523.0,150.0,180.0,26.0,96.0,164.0,115.0,61.0
むつ市柳町三丁目,10.38256873477871,1399.0,212.0,397.0,121.0,34.0,33.0,142.0,0.0,285.0,148.0
むつ市大字田名部字小平舘の内尻釜,10.43605631983999,332.0,258.0,32.0,33.0,16.0,0.0,0.0,68.0,87.0,90.0
むつ市柳町四丁目,10.529469782929091,1633.0,458.0,359.0,335.0,0.0,203.0,0.0,0.0,83.0,39.0
むつ市金曲一丁目,10.537961272498926,3755.0,1769.0,414.0,818.0,232.0,446.0,200.0,183.0,151.0,32.0
むつ市小川町二丁目,10.707999024625362,899.0,211.0,440.0,506.0,27.0,207.0,230.0,52.0,0.0,29.0
むつ市大字中野沢字中野沢,11.036275952651618,683.0,349.0,0.0,202.0,307.0,0.0,207.0,39.0,0.0,0.0
むつ市小川町一丁目,11.142319388084974,5786.0,586.0,491.0,416.0,691.0,421.0,334.0,1493.0,0.0,144.0
むつ市大字田名部字椛山,11.332765539910667,559.0,129.0,64.0,163.0,130.0,62.0,55.0,0.0,0.0,0.0
むつ市大字関根字水川目,11.4018607972685,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市金谷一丁目,11.612513339922266,2782.0,926.0,529.0,436.0,184.0,274.0,648.0,111.0,0.0,72.0
むつ市大字田名部字松山,11.737822319553965,22.0,88.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字女舘,11.950741899399977,847.0,141.0,298.0,323.0,40.0,51.0,32.0,17.0,0.0,66.0
むつ市金谷二丁目,12.037460863583926,1445.0,773.0,106.0,57.0,183.0,134.0,76.0,48.0,38.0,36.0
むつ市中央一丁目,12.490115061460486,202.0,374.0,313.0,511.0,0.0,0.0,0.0,0.0,0.0,450.0
むつ市中央二丁目,12.74447546837544,1559.0,885.0,403.0,636.0,41.0,43.0,199.0,74.0,174.0,90.0
むつ市大字関根字名古平,12.763690900010568,50.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字二又川目,13.094826075015337,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字関根字北関根,13.230718711304357,1091.0,304.0,793.0,549.0,0.0,0.0,0.0,135.0,91.0,48.0
むつ市大字田名部字高田,13.302076662297694,81.0,89.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
むつ市大字関根字南関根,13.667705685390878,709.0,56.0,966.0,0.0,0.0,0.0,68.0,60.0,81.0,0.0
むつ市大字田名部字宮後,13.865113978769232,261.0,0.0,0.0,150.0,0.0,173.0,0.0,0.0,0.0,155.0
むつ市大字田名部字落野沢,14.018408158395857,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字二又,14.258302552308214,71.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字山田,14.434156091012367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字十二林,14.61622397839537,150.0,119.0,17.0,0.0,68.0,0.0,0.0,12.0,39.0,0.0
むつ市大字関根字出戸川目,14.682226184815853,145.0,214.0,23.0,0.0,17.0,0.0,27.0,0.0,0.0,0.0
むつ市大字大平字梨子木平,14.77123395873919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字落野沢,14.805190598875027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字荒川,14.9662772225698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字多賀道,15.067904465996401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大湊字近川,15.280528312214061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字関根字高梨川目,15.303090393371022,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0
