town_name_show,dist_km,藤井クリニック,なかの内科クリニック,関市国民健康保険津保川診療所,林医院,竹内医院,岐阜県厚生農業協同組合連合会 中濃厚生病院,美濃市立美濃病院,下條内科クリニック,おおすが内科クリニック,安田内科クリニック
関市富之保,0.22455016724041424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,0.40491105446627423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,0.4178780650597528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,0.9046483467820319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,0.9323175848199045,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,1.5655798913110284,0.0,285.0,0.0,0.0,118.0,32.0,0.0,0.0,32.0,0.0
関市富之保,2.0160657681845917,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0
関市下之保,2.085470795097451,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,2.2090714945694176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,2.246064209074489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,2.2565766607687756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保名倉,2.3408114162439646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,2.355706951163027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,2.4690109245003966,27.0,25.0,0.0,0.0,27.0,0.0,0.0,25.0,0.0,0.0
関市中之保,2.516017199016186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,2.7976136216938503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,2.8503060227671417,0.0,0.0,87.0,86.0,0.0,134.0,0.0,0.0,0.0,0.0
関市上之保和田野,3.120348220804285,0.0,65.0,79.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0
関市上之保先谷,3.1959892679803357,0.0,0.0,223.0,0.0,0.0,53.0,0.0,0.0,85.0,0.0
関市下之保,3.2003412172162276,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0
関市下之保,3.278793743747687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,3.294297603373046,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0
関市上之保山本,3.5208587408400955,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,3.5797363391352945,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,3.7989644640639697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,4.000058833095413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保川合下,4.269422831331583,0.0,0.0,240.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0
美濃市上河和,4.330957155542793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,4.377729327116446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市上河和,4.425195332893375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,4.458224183585486,0.0,0.0,0.0,56.0,55.0,0.0,0.0,0.0,56.0,0.0
七宗町神淵,4.523916248974102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,4.570130163373204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,4.624131017267647,312.0,122.0,120.0,0.0,0.0,463.0,105.0,113.0,0.0,0.0
美濃市上河和,4.808589604479286,0.0,0.0,0.0,0.0,0.0,81.0,45.0,0.0,0.0,0.0
関市下之保,4.820063049308384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,4.936592161034612,27.0,63.0,0.0,0.0,261.0,0.0,0.0,45.0,45.0,35.0
七宗町神淵,4.948442458744575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市保木脇,4.953679809066891,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,5.007310348381104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市下河和,5.366586285115378,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0
七宗町神淵,5.397335010252201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七宗町神淵,5.486614184568385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,5.524748072259395,31.0,0.0,0.0,17.0,24.0,112.0,0.0,0.0,0.0,0.0
美濃市上河和,5.552771877696779,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
七宗町神淵,5.606158589202049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市下河和,5.680365386403102,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七宗町神淵,5.8170606182192826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保明ケ島,5.8278068760450426,0.0,562.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保船山,5.844199542765062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七宗町神淵,5.909994949495866,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
美濃加茂市三和町廿屋,5.945156595477844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市下河和,6.073089609958661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保川合中,6.176478197417449,1203.0,220.0,400.0,1201.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市立花,6.184253281587663,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市上河和,6.2422121691492105,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0
関市神野,6.334222069012126,222.0,0.0,0.0,0.0,172.0,99.0,0.0,220.0,167.0,64.0
美濃市保木脇,6.413316489919895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保川合上,6.426908119178212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七宗町神淵,6.560263308236967,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,282.0
