town_name_show,dist_km,宇陀市立病院,くらもと胃腸科医院,奈良市都祁診療所,医療法人吉生会吉井整形外科医院,社会医療法人高清会　高井病院,鳥見眼科,医療法人飯岡会　のぞみ診療所,医療法人　山本診療所,公益財団法人　天理よろづ相談所病院,医療法人豊生会　加藤クリニック
奈良市都祁甲岡町,0.9752559333778714,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市都祁友田町,1.0448703600684066,36.0,228.0,692.0,0.0,162.0,39.0,0.0,0.0,0.0,31.0
奈良市都祁白石町,1.113562390325713,131.0,1123.0,1614.0,100.0,188.0,58.0,91.0,153.0,351.0,0.0
奈良市針町,1.1448635527638669,211.0,444.0,691.0,149.0,536.0,66.0,71.0,106.0,131.0,0.0
奈良市来迎寺町,1.5103116893792028,39.0,101.0,83.0,0.0,117.0,10.0,0.0,0.0,0.0,0.0
奈良市都祁南之庄町,1.5217077014950706,37.0,156.0,293.0,38.0,0.0,38.0,35.0,0.0,35.0,0.0
宇陀市室生無山,2.290048000406161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市藺生町,2.5959024063832357,114.0,309.0,269.0,270.0,0.0,44.0,37.0,0.0,143.0,231.0
宇陀市室生無山,2.605410912741782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市都祁相河町,2.6145705288790744,88.0,116.0,0.0,94.0,0.0,30.0,0.0,0.0,0.0,0.0
奈良市針ケ別所町,2.792357320424879,0.0,210.0,362.0,0.0,119.0,0.0,0.0,0.0,117.0,0.0
奈良市都祁小山戸町,2.8763284491987227,451.0,0.0,192.0,71.0,63.0,0.0,108.0,93.0,44.0,0.0
宇陀市室生染田,2.9361359250830565,521.0,0.0,0.0,501.0,283.0,233.0,0.0,0.0,0.0,0.0
宇陀市室生多田,3.146883573442358,47.0,142.0,0.0,0.0,75.0,92.0,0.0,0.0,60.0,0.0
奈良市小倉町,3.1588951895921875,37.0,180.0,693.0,46.0,249.0,73.0,0.0,0.0,154.0,0.0
奈良市都祁馬場町,3.358121750030051,0.0,63.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
天理市山田町,3.4270049087576293,0.0,664.0,0.0,0.0,430.0,34.0,0.0,38.0,184.0,0.0
宇陀市室生向渕,3.6368452898736106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市都祁こぶしが丘,3.6601867014555474,108.0,92.0,127.0,484.0,310.0,0.0,256.0,224.0,44.0,95.0
奈良市都祁吐山町,3.683920235081354,231.0,74.0,282.0,110.0,178.0,100.0,275.0,86.0,165.0,212.0
天理市福住町,4.160254973455143,0.0,2284.0,97.0,0.0,829.0,0.0,49.0,0.0,176.0,0.0
宇陀市室生小原,4.234069858308662,166.0,0.0,40.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字小夫嵩方,4.345533987296962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字小夫,4.40240629092381,0.0,0.0,0.0,0.0,37.0,0.0,327.0,0.0,0.0,0.0
奈良市荻町,4.5298203300924795,17.0,27.0,165.0,18.0,218.0,45.0,0.0,14.0,29.0,0.0
宇陀市室生向渕,4.584390464582676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字三谷,4.77460284987204,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0
奈良市上深川町,4.804088780361393,437.0,39.0,328.0,0.0,129.0,0.0,0.0,89.0,79.0,0.0
奈良市杣ノ川町,4.982330377661082,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生向渕,5.012782382349052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字芹井,5.128882065137612,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,18.0,0.0
宇陀市室生上笠間,5.166206004264502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生向渕,5.176048109389177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原戒場,5.215850937164999,25.0,0.0,0.0,96.0,0.0,70.0,0.0,0.0,0.0,194.0
奈良市長谷町,5.4049977831485,0.0,10.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0
桜井市大字白木,5.632373171962028,0.0,53.0,0.0,0.0,52.0,0.0,28.0,0.0,185.0,0.0
宇陀市榛原赤瀬,5.666251980209431,316.0,0.0,0.0,113.0,37.0,193.0,32.0,116.0,0.0,80.0
宇陀市榛原額井,5.712174847033765,23.0,0.0,0.0,153.0,0.0,174.0,60.0,61.0,23.0,0.0
宇陀市室生上笠間,5.731216714022607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字修理枝,5.737307888980937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字切幡,5.83523473260793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生大野,5.8448340327553385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
天理市苣原町,6.003577123027364,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市別所町,6.031667897290621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字滝倉,6.0688297491369285,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0
奈良市南田原町,6.0831942063226,0.0,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原萩原,6.106733281079419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生下笠間,6.171179342437887,242.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0
奈良市下深川町,6.195867470041196,291.0,100.0,120.0,100.0,52.0,39.0,0.0,0.0,174.0,0.0
宇陀市室生大野,6.204506326431224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原天満台東四丁目,6.34589002488548,443.0,0.0,0.0,551.0,21.0,64.0,33.0,98.0,32.0,223.0
宇陀市室生三本松,6.4215814853828554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原天満台東二丁目,6.437883755447524,838.0,0.0,0.0,426.0,408.0,241.0,112.0,322.0,211.0,443.0
天理市長滝町,6.454526886224302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原天満台東三丁目,6.495307463879378,1234.0,26.0,0.0,800.0,0.0,676.0,402.0,634.0,45.0,246.0
宇陀市室生上笠間,6.513009771463378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原天満台西四丁目,6.528314300924237,990.0,40.0,0.0,1378.0,489.0,756.0,218.0,656.0,0.0,634.0
桜井市大字中谷,6.611436798064556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
天理市上仁興町,6.614883852077014,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生大野,6.634786913756413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
