town_name_show,dist_km,医療法人邦友会 湯河原循環器クリニック,医療法人 同愛会 小澤病院,独立行政法人地域医療機能推進機構 湯河原病院,国際医療福祉大学熱海病院,湯河原胃腸病院,小田原市立病院,真鶴町国民健康保険診療所,こまつクリニック,訪問診療めじろクリニック,YKいわさきクリニック
真鶴町岩,0.17405757441757636,1175.0,395.0,1240.0,1289.0,523.0,559.0,4451.0,273.0,595.0,238.0
湯河原町福浦,0.6272442929272602,626.0,397.0,1091.0,620.0,750.0,224.0,186.0,105.0,503.0,431.0
真鶴町真鶴,1.0668855988871966,3627.0,498.0,2146.0,2965.0,1475.0,878.0,8772.0,524.0,243.0,1233.0
湯河原町吉浜,1.5096112229393868,1717.0,634.0,2222.0,2484.0,1785.0,183.0,598.0,1065.0,641.0,2039.0
湯河原町中央四丁目,2.088544390145496,735.0,0.0,700.0,887.0,243.0,165.0,0.0,809.0,0.0,458.0
湯河原町中央五丁目,2.129631508394164,466.0,75.0,1021.0,427.0,174.0,189.0,0.0,426.0,294.0,397.0
湯河原町中央三丁目,2.285068721576417,612.0,63.0,438.0,296.0,269.0,112.0,0.0,0.0,161.0,75.0
湯河原町中央二丁目,2.405119373877127,57.0,0.0,1435.0,385.0,229.0,0.0,0.0,55.0,303.0,154.0
湯河原町中央一丁目,2.483481438823315,1318.0,151.0,835.0,232.0,573.0,536.0,190.0,541.0,630.0,544.0
湯河原町門川,2.6060233934824772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町土肥二丁目,2.83707392606034,1153.0,55.0,493.0,530.0,1294.0,1016.0,0.0,241.0,2052.0,0.0
湯河原町吉浜,2.847793966297625,113.0,144.0,37.0,413.0,0.0,145.0,0.0,59.0,100.0,104.0
湯河原町土肥三丁目,3.0052067855469757,707.0,0.0,81.0,462.0,688.0,242.0,0.0,65.0,666.0,0.0
湯河原町土肥一丁目,3.185046968173532,2481.0,181.0,281.0,453.0,1742.0,0.0,0.0,226.0,412.0,0.0
小田原市江之浦,3.2759692526096464,0.0,173.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0
湯河原町土肥四丁目,3.3459088370839227,1848.0,241.0,0.0,2673.0,1953.0,0.0,151.0,254.0,1103.0,473.0
湯河原町城堀,3.3584064110430187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町土肥五丁目,3.690282822982104,2614.0,48.0,1598.0,731.0,652.0,202.0,0.0,643.0,418.0,46.0
湯河原町吉浜,3.870339824121095,1385.0,129.0,1655.0,657.0,929.0,118.0,306.0,870.0,921.0,905.0
湯河原町宮下,4.037392606207738,2917.0,56.0,875.0,1082.0,1317.0,37.0,31.0,921.0,369.0,176.0
湯河原町土肥六丁目,4.222520651742713,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町宮上,4.692683043094631,1573.0,33.0,1295.0,631.0,455.0,105.0,0.0,4506.0,506.0,94.0
湯河原町鍛冶屋,5.172020832581159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市根府川,5.233722060355379,50.0,224.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
湯河原町宮上,5.57085005046163,1703.0,165.0,879.0,944.0,498.0,67.0,0.0,2629.0,311.0,275.0
小田原市米神,6.326907449325287,0.0,605.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0
小田原市石橋,7.357544361389032,0.0,287.0,39.0,0.0,0.0,57.0,0.0,0.0,46.0,0.0
小田原市早川,7.6652317318396435,338.0,987.0,0.0,0.0,0.0,150.0,73.0,49.0,0.0,0.0
湯河原町宮上,7.80400001243477,195.0,0.0,69.0,0.0,81.0,0.0,0.0,278.0,0.0,0.0
箱根町湯本茶屋,8.471566550033408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
箱根町湯本,8.631521825107537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
箱根町須雲川,8.827205174938118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
箱根町畑宿,8.934077732668158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市早川一丁目,9.303883297525338,0.0,283.0,37.0,0.0,50.0,565.0,0.0,0.0,0.0,0.0
箱根町塔之澤,9.49611468206258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市早川二丁目,9.532280082116172,0.0,236.0,0.0,54.0,0.0,162.0,56.0,0.0,0.0,0.0
小田原市早川三丁目,9.646910825715015,53.0,478.0,41.0,41.0,0.0,251.0,0.0,0.0,0.0,0.0
小田原市南町三丁目,9.713458081275864,97.0,1404.0,0.0,0.0,57.0,564.0,0.0,0.0,0.0,0.0
小田原市南町四丁目,9.722326411695516,0.0,674.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0
小田原市南板橋,9.723754849764507,0.0,720.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0
小田原市南町二丁目,9.880902822449368,0.0,665.0,0.0,58.0,0.0,150.0,0.0,0.0,0.0,0.0
小田原市入生田,9.8955615296033,0.0,1115.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0
小田原市本町四丁目,9.991841757112697,32.0,1009.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0
小田原市風祭,10.110621484318985,0.0,586.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,0.0
小田原市板橋,10.13111058021379,73.0,2262.0,0.0,106.0,0.0,1580.0,0.0,0.0,49.0,35.0
小田原市南町一丁目,10.208948910848763,0.0,195.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0
小田原市本町三丁目,10.244524581660787,0.0,1949.0,0.0,0.0,0.0,547.0,0.0,0.0,0.0,0.0
小田原市十字,10.25177394518293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
箱根町大平台,10.273089345129897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市城山四丁目,10.333976265670778,0.0,569.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
小田原市本町一丁目,10.441699342431361,0.0,1568.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0
小田原市城内,10.544292206224322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市本町二丁目,10.612098738339556,87.0,2540.0,0.0,0.0,0.0,1662.0,0.0,0.0,0.0,0.0
小田原市浜町三丁目,10.657273648893261,0.0,1356.0,52.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0
小田原市城山三丁目,10.78569226859876,0.0,707.0,57.0,125.0,0.0,946.0,0.0,0.0,0.0,0.0
小田原市水之尾,10.803403418394657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市栄町一丁目,10.913017722889357,0.0,357.0,0.0,0.0,0.0,90.0,0.0,28.0,0.0,0.0
小田原市浜町一丁目,10.9162190299864,0.0,1086.0,136.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0
小田原市緑,11.04272132906315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市浜町四丁目,11.119655913119177,0.0,1402.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0
