TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,町丁字コード6桁,地域階層レベル,総数,医療需要者数合計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,5,男女,秘匿処理,秘匿先情報,合算地域,年齢「不詳」,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）20～69歳,-,-.1,中江医院,佐藤医院,医療法人慈愛会 石田医院,医療法人社団健育会 西伊豆健育会病院附属土肥クリニック,医療法人社団健育会西伊豆健育会病院,医療法人社団正仁会 加藤内科,池田医院,西伊豆町安良里診療所,西伊豆町田子診療所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
22306007009,西伊豆町,安良里中島,西伊豆町,安良里中島,西伊豆町安良里中島,静岡県,西伊豆町,安良里,中島,西伊豆町安良里中島,22306.0,7009.0,7009.0,4.0,122,9.665300000000002,0.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,6.0,9.0,8.0,4.0,7.0,15.0,28.0,13.0,10.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.02459,0.11835,0.02837,0.0,0.1005899999999999,0.21006,0.35208,0.3516,0.23004,0.4424,1.21515,2.6306000000000003,1.45561,1.201,0.80381,0.40084,0.10021,0.0,5104.0,総数,,,,-,-,44,78,35,12,58,7937,65.55738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.76828023548285,34.82605845632471,0.1381886729283752,0.0,西伊豆町安良里中島,西伊豆町安良里中島,code_in_car30
22306007010,西伊豆町,安良里天坂,西伊豆町,安良里天坂,西伊豆町安良里天坂,静岡県,西伊豆町,安良里,天坂,西伊豆町安良里天坂,22306.0,7010.0,7010.0,4.0,219,18.14391,1.0,3.0,2.0,8.0,4.0,1.0,5.0,3.0,8.0,10.0,3.0,14.0,8.0,30.0,36.0,29.0,24.0,16.0,11.0,3.0,0.0,0.0379,0.15588,0.0736,0.19672,0.09468,0.02837,0.1600499999999999,0.1005899999999999,0.28008,0.3912,0.13185,0.80514,0.5056,2.4303,3.3822,3.24713,2.8824,1.83728,1.10231,0.3006299999999999,0.0,5105.0,総数,,,,-,6,64,149,83,30,86,14314,65.86073,0.0,0.0,0.0,235.0,74.0,0.0,218.0,637.0,76.0,138.770941025094,34.82476194461402,0.2652479628454754,1240.0,西伊豆町安良里天坂,西伊豆町安良里天坂,code_in_car30
22306007007,西伊豆町,安良里浜川東,西伊豆町,安良里浜川東,西伊豆町安良里浜川東,静岡県,西伊豆町,安良里,浜川東,西伊豆町安良里浜川東,22306.0,7007.0,7007.0,4.0,261,19.86681,3.0,4.0,11.0,8.0,1.0,4.0,9.0,9.0,7.0,9.0,16.0,17.0,21.0,26.0,34.0,27.0,28.0,15.0,9.0,3.0,0.0,0.1137,0.20784,0.4048,0.19672,0.02367,0.11348,0.2880899999999999,0.30177,0.24507,0.35208,0.7032,0.97767,1.3272000000000002,2.10626,3.1943,3.02319,3.3628,1.72245,0.90189,0.3006299999999999,0.0,5102.0,総数,,,,-,18,101,142,82,27,119,15875,61.32375,0.0,0.0,0.0,337.0,212.0,0.0,158.0,1815.0,0.0,138.7765408270191,34.82692643225366,0.6450506004723672,2522.0,西伊豆町安良里浜川東,西伊豆町安良里浜川東,code_in_car30
22306007011,西伊豆町,安良里浦上,西伊豆町,安良里浦上,西伊豆町安良里浦上,静岡県,西伊豆町,安良里,浦上,西伊豆町安良里浦上,22306.0,7011.0,7011.0,4.0,143,11.608770000000002,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,8.0,13.0,7.0,7.0,3.0,16.0,27.0,24.0,17.0,8.0,1.0,0.0,0.0,0.0379,0.10392,0.0,0.02459,0.04734,0.02837,0.06402,0.03353,0.28008,0.50856,0.30765,0.40257,0.1896,1.29616,2.5366500000000003,2.68728,2.0417,0.91864,0.10021,0.0,0.0,5106.0,総数,,,,2,3,45,93,50,9,60,9140,65.3227,0.0,0.0,0.0,162.0,35.0,0.0,355.0,70.0,605.0,138.77234346063452,34.820371750755804,0.7634905732603555,1227.0,西伊豆町安良里浦上,西伊豆町安良里浦上,code_in_car30
22306007008,西伊豆町,安良里浜川西,西伊豆町,安良里浜川西,西伊豆町安良里浜川西,静岡県,西伊豆町,安良里,浜川西,西伊豆町安良里浜川西,22306.0,7008.0,7008.0,4.0,211,16.36983,4.0,3.0,6.0,7.0,2.0,6.0,7.0,0.0,7.0,7.0,14.0,11.0,14.0,26.0,21.0,33.0,21.0,12.0,9.0,0.0,0.0,0.1516,0.15588,0.2208,0.17213,0.04734,0.1702199999999999,0.22407,0.0,0.24507,0.27384,0.6153000000000001,0.63261,0.8848,2.10626,1.97295,3.69501,2.5221,1.37796,0.90189,0.0,0.0,5103.0,総数,,,,1,13,75,122,75,21,94,12883,61.84762,0.0,0.0,0.0,66.0,215.0,0.0,487.0,1098.0,0.0,138.78048693946803,34.82922954388789,1.040175885222752,1866.0,西伊豆町安良里浜川西,西伊豆町安良里浜川西,code_in_car30
22306006006,西伊豆町,宇久須芝,西伊豆町,宇久須芝,西伊豆町宇久須芝,静岡県,西伊豆町,宇久須,芝,西伊豆町宇久須芝,22306.0,6006.0,6006.0,4.0,190,14.167460000000002,0.0,1.0,5.0,12.0,4.0,2.0,1.0,3.0,7.0,10.0,17.0,17.0,12.0,13.0,25.0,30.0,19.0,6.0,4.0,1.0,0.0,0.0,0.05196,0.184,0.29508,0.09468,0.05674,0.03201,0.1005899999999999,0.24507,0.3912,0.7471500000000001,0.97767,0.7584000000000001,1.05313,2.3487500000000003,3.3591,2.2819,0.68898,0.40084,0.10021,0.0,5100.0,総数,,,,1,6,85,98,60,11,86,11439,61.02381,0.0,0.0,0.0,76.0,99.0,0.0,211.0,73.0,0.0,138.77290585553607,34.84031461549549,1.532683739683619,459.0,西伊豆町宇久須芝,西伊豆町宇久須芝,code_in_car30
22306001001,西伊豆町,田子大田子,西伊豆町,田子大田子,西伊豆町田子大田子,静岡県,西伊豆町,田子,大田子,西伊豆町田子大田子,22306.0,1001.0,1001.0,4.0,664,50.23106000000001,9.0,19.0,10.0,17.0,16.0,9.0,12.0,27.0,26.0,37.0,33.0,31.0,51.0,77.0,88.0,74.0,73.0,28.0,21.0,5.0,0.0,0.3411,0.98724,0.368,0.41803,0.37872,0.25533,0.3841199999999999,0.90531,0.91026,1.44744,1.45035,1.78281,3.2232000000000003,6.23777,8.2676,8.28578,8.7673,3.21524,2.1044099999999997,0.50105,0.0,5078.0,総数,,,,1,38,259,366,201,54,319,40033,60.8816,0.0,0.0,0.0,982.0,1145.0,0.0,237.0,603.0,789.0,138.75518167134467,34.811161710586816,2.1759223888763866,3756.0,西伊豆町田子大田子,西伊豆町田子大田子,code_in_car30
22306006005,西伊豆町,宇久須浜,西伊豆町,宇久須浜,西伊豆町宇久須浜,静岡県,西伊豆町,宇久須,浜,西伊豆町宇久須浜,22306.0,6005.0,6005.0,4.0,269,19.714889999999997,8.0,5.0,6.0,5.0,8.0,7.0,2.0,8.0,10.0,17.0,19.0,22.0,17.0,23.0,35.0,26.0,21.0,21.0,6.0,3.0,0.0,0.3032,0.2598,0.2208,0.12295,0.18936,0.19859,0.06402,0.26824,0.3500999999999999,0.6650400000000001,0.8350500000000001,1.26522,1.0744,1.86323,3.28825,2.91122,2.5221,2.41143,0.6012599999999999,0.3006299999999999,0.0,5099.0,総数,,,,-,19,115,135,77,30,133,15910,59.64498,0.0,0.0,0.0,202.0,96.0,0.0,351.0,272.0,0.0,138.7751733219106,34.845827342548034,2.1763943450672727,921.0,西伊豆町宇久須浜,西伊豆町宇久須浜,code_in_car30
22306001002,西伊豆町,田子道西,西伊豆町,田子道西,西伊豆町田子道西,静岡県,西伊豆町,田子,道西,西伊豆町田子道西,22306.0,1002.0,1002.0,4.0,242,18.433810000000005,3.0,3.0,4.0,8.0,3.0,5.0,5.0,7.0,10.0,10.0,21.0,16.0,14.0,19.0,36.0,25.0,32.0,12.0,6.0,2.0,0.0,0.1137,0.15588,0.1472,0.19672,0.07101,0.14185,0.1600499999999999,0.2347099999999999,0.3500999999999999,0.3912,0.92295,0.92016,0.8848,1.53919,3.3822,2.79925,3.8432,1.37796,0.6012599999999999,0.20042,0.0,5079.0,総数,,,,1,10,99,132,77,20,110,14781,61.83195,0.0,0.0,0.0,266.0,239.0,0.0,191.0,722.0,346.0,138.76513911523512,34.80572952842054,2.3785029741733665,1764.0,西伊豆町田子道西,西伊豆町田子道西,code_in_car30
22306006004,西伊豆町,宇久須下月原,西伊豆町,宇久須下月原,西伊豆町宇久須下月原,静岡県,西伊豆町,宇久須,下月原,西伊豆町宇久須下月原,22306.0,6004.0,6004.0,4.0,243,17.688280000000002,1.0,4.0,8.0,10.0,7.0,3.0,4.0,9.0,16.0,12.0,19.0,15.0,11.0,18.0,26.0,31.0,20.0,15.0,11.0,2.0,0.0,0.0379,0.20784,0.2944,0.2459,0.16569,0.0851099999999999,0.12804,0.30177,0.56016,0.46944,0.8350500000000001,0.86265,0.6952,1.45818,2.4427000000000003,3.47107,2.402,1.72245,1.10231,0.20042,0.0,5098.0,総数,,,,1,13,106,123,79,28,114,14396,59.9876,0.0,0.0,0.0,128.0,250.0,0.0,1135.0,255.0,0.0,138.77813270779882,34.848270075794396,2.5124469091176196,1768.0,西伊豆町宇久須下月原,西伊豆町宇久須下月原,code_in_car30
22306001006,西伊豆町,田子月西,西伊豆町,田子月西,西伊豆町田子月西,静岡県,西伊豆町,田子,月西,西伊豆町田子月西,22306.0,1006.0,1006.0,4.0,266,20.94105,1.0,5.0,6.0,5.0,6.0,2.0,8.0,8.0,10.0,17.0,8.0,8.0,24.0,33.0,37.0,33.0,36.0,11.0,6.0,2.0,0.0,0.0379,0.2598,0.2208,0.12295,0.14202,0.05674,0.25608,0.26824,0.3500999999999999,0.6650400000000001,0.3516,0.46008,1.5168,2.67333,3.47615,3.69501,4.3236,1.26313,0.6012599999999999,0.20042,0.0,5083.0,総数,,,,-,12,96,158,88,19,124,16587,62.85714,0.0,0.0,0.0,800.0,0.0,0.0,639.0,743.0,228.0,138.75507031463573,34.805380205215585,2.7227850525011394,2410.0,西伊豆町田子月西,西伊豆町田子月西,code_in_car30
22306001003,西伊豆町,田子道東,西伊豆町,田子道東,西伊豆町田子道東,静岡県,西伊豆町,田子,道東,西伊豆町田子道東,22306.0,1003.0,1003.0,4.0,212,16.82188,4.0,5.0,5.0,5.0,1.0,3.0,1.0,8.0,7.0,11.0,4.0,6.0,25.0,26.0,35.0,24.0,22.0,13.0,5.0,1.0,1.0,0.1516,0.2598,0.184,0.12295,0.02367,0.0851099999999999,0.03201,0.26824,0.24507,0.43032,0.1758,0.34506,1.58,2.10626,3.28825,2.68728,2.6422,1.49279,0.50105,0.10021,0.10021,5080.0,総数,,,,-,14,71,127,66,20,92,13233,62.91981,0.0,0.0,0.0,0.0,666.0,0.0,0.0,0.0,170.0,138.77314101933203,34.80016310813938,2.9831257451232354,836.0,西伊豆町田子道東,西伊豆町田子道東,code_in_car30
22306001005,西伊豆町,田子月東,西伊豆町,田子月東,西伊豆町田子月東,静岡県,西伊豆町,田子,月東,西伊豆町田子月東,22306.0,1005.0,1005.0,4.0,207,17.094450000000002,0.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,6.0,10.0,9.0,10.0,16.0,32.0,41.0,23.0,19.0,16.0,7.0,2.0,0.0,0.0,0.05196,0.1104,0.09836,0.02367,0.05674,0.0960299999999999,0.03353,0.21006,0.3912,0.39555,0.5751,1.0112,2.59232,3.85195,2.57531,2.2819,1.83728,0.7014699999999999,0.20042,0.0,5082.0,総数,,,,1,4,62,140,67,25,90,13710,67.0534,0.0,0.0,0.0,253.0,369.0,0.0,0.0,0.0,177.0,138.7662262368132,34.79880621048934,3.129261503657069,799.0,西伊豆町田子月東,西伊豆町田子月東,code_in_car30
22306001004,西伊豆町,田子川向,西伊豆町,田子川向,西伊豆町田子川向,静岡県,西伊豆町,田子,川向,西伊豆町田子川向,22306.0,1004.0,1004.0,4.0,163,12.95943,2.0,1.0,2.0,2.0,0.0,4.0,0.0,7.0,4.0,8.0,9.0,12.0,14.0,22.0,16.0,20.0,18.0,10.0,7.0,4.0,0.0,0.0758,0.05196,0.0736,0.04918,0.0,0.11348,0.0,0.2347099999999999,0.14004,0.31296,0.39555,0.69012,0.8848,1.78222,1.5032,2.2394,2.1618,1.1483,0.7014699999999999,0.40084,0.0,5081.0,総数,,,,1,5,60,97,59,21,80,10576,65.78395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.77002702805405,34.7981256656112,3.1912445459500165,0.0,西伊豆町田子川向,西伊豆町田子川向,code_in_car30
22306002007,西伊豆町,仁科浮島,西伊豆町,仁科浮島,西伊豆町仁科浮島,静岡県,西伊豆町,仁科,浮島,西伊豆町仁科浮島,22306.0,2007.0,2007.0,4.0,63,3.679580000000001,1.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,4.0,7.0,7.0,7.0,3.0,3.0,1.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0379,0.10392,0.1104,0.07377,0.09468,0.0,0.0,0.0,0.14004,0.27384,0.30765,0.40257,0.1896,0.24303,0.09395,1.00773,0.6005,0.0,0.0,0.0,0.0,5085.0,総数,,,,4,6,35,18,14,-,35,3021,51.70339,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,140.0,138.7612947804627,34.79481635185624,3.636343810636767,238.0,西伊豆町仁科浮島,西伊豆町仁科浮島,code_in_car30
22306006003,西伊豆町,宇九須月原,西伊豆町,宇九須月原,西伊豆町宇九須月原,静岡県,西伊豆町,宇九須,月原,西伊豆町宇九須月原,22306.0,6003.0,6003.0,4.0,287,18.13871,2.0,8.0,18.0,14.0,7.0,5.0,7.0,11.0,27.0,25.0,17.0,19.0,19.0,26.0,27.0,22.0,13.0,14.0,4.0,1.0,0.0,0.0758,0.41568,0.6624,0.34426,0.16569,0.14185,0.22407,0.36883,0.94527,0.978,0.7471500000000001,1.09269,1.2008,2.10626,2.5366500000000003,2.46334,1.5613,1.60762,0.40084,0.10021,0.0,5097.0,総数,,,,1,28,151,107,54,19,163,15013,52.99301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.79068464324715,34.85503756649818,3.68652105602319,0.0,西伊豆町宇九須月原,西伊豆町宇九須月原,code_in_car30
22306006001,西伊豆町,宇久須大久須,西伊豆町,宇久須大久須,西伊豆町宇久須大久須,静岡県,西伊豆町,宇久須,大久須,西伊豆町宇久須大久須,22306.0,6001.0,6001.0,4.0,215,18.44422,1.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,9.0,8.0,10.0,10.0,14.0,19.0,27.0,20.0,20.0,23.0,27.0,12.0,2.0,0.0379,0.10392,0.0,0.04918,0.07101,0.05674,0.06402,0.06706,0.31509,0.31296,0.4395,0.5751,0.8848,1.53919,2.5366500000000003,2.2394,2.402,2.64109,2.70567,1.2025199999999998,0.20042,5095.0,総数,,,,-,3,62,150,104,64,79,15235,71.36047,0.0,0.0,0.0,571.0,0.0,0.0,1035.0,0.0,0.0,138.81121066580405,34.835574776801614,3.9317156795345323,1606.0,西伊豆町宇久須大久須,西伊豆町宇久須大久須,code_in_car30
22306002014,西伊豆町,仁科野畑,西伊豆町,仁科野畑,西伊豆町仁科野畑,静岡県,西伊豆町,仁科,野畑,西伊豆町仁科野畑,22306.0,2014.0,2014.0,4.0,94,6.453080000000001,1.0,5.0,8.0,3.0,1.0,0.0,2.0,4.0,2.0,9.0,6.0,1.0,6.0,17.0,11.0,6.0,5.0,4.0,3.0,0.0,0.0,0.0379,0.2598,0.2944,0.07377,0.02367,0.0,0.06402,0.13412,0.07002,0.35208,0.2637,0.05751,0.3792,1.37717,1.03345,0.67182,0.6005,0.45932,0.3006299999999999,0.0,0.0,5089.0,総数,,,,-,14,34,46,18,7,48,5092,54.67021,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,138.78047630782638,34.78589297513565,4.660581339493525,103.0,西伊豆町仁科野畑,西伊豆町仁科野畑,code_in_car30
22222056027,伊豆市,小下田,伊豆市,小下田,伊豆市小下田,静岡県,伊豆市,小下田,,伊豆市小下田,22222.0,56027.0,56027.0,4.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4576.0,総数,,,,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.76948263842513,34.86929318906801,4.722631804165159,0.0,伊豆市小下田,伊豆市小下田,code_in_car30
22222056031,伊豆市,小下田,伊豆市,小下田,伊豆市小下田,静岡県,伊豆市,小下田,,伊豆市小下田,22222.0,56031.0,56031.0,4.0,71,6.06125,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,9.0,8.0,4.0,9.0,6.0,9.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.02459,0.0,0.02837,0.06402,0.0,0.0,0.11736,0.13185,0.51759,0.5056,0.32404,0.84555,0.67182,1.0809,1.1483,0.50105,0.10021,0.0,4578.0,総数,,,,-,-,27,44,31,16,30,4950,70.21831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.76573652261627,34.869678029025685,4.77762047978007,0.0,伊豆市小下田,伊豆市小下田,code_in_car30
22306004000,西伊豆町,一色,西伊豆町,一色,西伊豆町一色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.80481093592797,34.79487378457497,4.79864317613754,0.0,西伊豆町一色,西伊豆町一色,code_in_car30
22306002011,西伊豆町,仁科沢田,西伊豆町,仁科沢田,西伊豆町仁科沢田,静岡県,西伊豆町,仁科,沢田,西伊豆町仁科沢田,22306.0,2011.0,2011.0,4.0,489,33.86617,6.0,10.0,14.0,8.0,15.0,27.0,18.0,12.0,19.0,29.0,36.0,39.0,37.0,47.0,48.0,48.0,41.0,22.0,11.0,1.0,0.0,0.2274,0.5196,0.5152,0.19672,0.35505,0.76599,0.5761799999999999,0.4023599999999999,0.66519,1.1344800000000002,1.5822,2.24289,2.3384,3.80747,4.509600000000001,5.37456,4.9241,2.52626,1.10231,0.10021,0.0,5086.0,総数,,,,1,30,240,218,123,34,279,27679,57.21926,0.0,0.0,0.0,0.0,473.0,0.0,307.0,367.0,0.0,138.75814966577911,34.78285126943021,4.997433278515778,1147.0,西伊豆町仁科沢田,西伊豆町仁科沢田,code_in_car30
22222056028,伊豆市,小下田,伊豆市,小下田,伊豆市小下田,静岡県,伊豆市,小下田,,伊豆市小下田,22222.0,56028.0,56028.0,4.0,87,6.811070000000001,2.0,4.0,0.0,1.0,1.0,2.0,3.0,4.0,2.0,6.0,1.0,4.0,3.0,10.0,16.0,10.0,5.0,6.0,5.0,2.0,0.0,0.0758,0.20784,0.0,0.02459,0.02367,0.05674,0.0960299999999999,0.13412,0.07002,0.23472,0.04395,0.23004,0.1896,0.8101,1.5032,1.1197,0.6005,0.68898,0.50105,0.20042,0.0,4577.0,総数,,,,-,6,27,54,28,13,36,5374,62.27011,0.0,0.0,0.0,606.0,0.0,0.0,120.0,0.0,0.0,138.76064144615452,34.871572052909144,5.040899997084728,726.0,伊豆市小下田,伊豆市小下田,code_in_car30
22222056026,伊豆市,小下田,伊豆市,小下田,伊豆市小下田,静岡県,伊豆市,小下田,,伊豆市小下田,22222.0,56026.0,56026.0,4.0,81,6.209569999999999,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,11.0,9.0,9.0,4.0,10.0,3.0,12.0,3.0,1.0,0.0,0.0379,0.0,0.0,0.04918,0.04734,0.05674,0.03201,0.06706,0.10503,0.11736,0.13185,0.63261,0.5688000000000001,0.72909,0.3758,1.1197,0.3603,1.37796,0.3006299999999999,0.10021,0.0,4575.0,総数,,,,-,1,38,42,29,16,45,5183,64.48765,0.0,0.0,0.0,576.0,176.0,0.0,118.0,0.0,0.0,138.760948374693,34.877650535677994,5.7052315020717925,870.0,伊豆市小下田,伊豆市小下田,code_in_car30
22306003000,西伊豆町,中,西伊豆町,中,西伊豆町中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.78807023569794,34.7758781473305,5.913635893256218,0.0,西伊豆町中,西伊豆町中,code_in_car30
22306002012,西伊豆町,仁科浜,西伊豆町,仁科浜,西伊豆町仁科浜,静岡県,西伊豆町,仁科,浜,西伊豆町仁科浜,22306.0,2012.0,2012.0,4.0,679,47.07335,6.0,11.0,18.0,31.0,8.0,30.0,20.0,18.0,34.0,47.0,54.0,54.0,36.0,53.0,78.0,54.0,41.0,46.0,26.0,13.0,0.0,0.2274,0.57156,0.6624,0.76229,0.18936,0.8511,0.6401999999999999,0.60354,1.19034,1.83864,2.3733,3.10554,2.2752000000000003,4.29353,7.3281,6.04638,4.9241,5.28218,2.60546,1.30273,0.0,5087.0,総数,,,,1,35,332,311,180,85,354,39153,58.24779,0.0,0.0,0.0,576.0,2364.0,0.0,502.0,628.0,538.0,138.7725894645908,34.772931507645914,5.999056662867701,4608.0,西伊豆町仁科浜,西伊豆町仁科浜,code_in_car30
22306006002,西伊豆町,宇久須神田,西伊豆町,宇久須神田,西伊豆町宇久須神田,静岡県,西伊豆町,宇久須,神田,西伊豆町宇久須神田,22306.0,6002.0,6002.0,4.0,128,10.001089999999998,1.0,2.0,3.0,4.0,0.0,0.0,4.0,3.0,8.0,6.0,5.0,9.0,11.0,9.0,19.0,12.0,14.0,9.0,8.0,1.0,0.0,0.0379,0.10392,0.1104,0.09836,0.0,0.0,0.12804,0.1005899999999999,0.28008,0.23472,0.21975,0.51759,0.6952,0.72909,1.78505,1.34364,1.6814,1.03347,0.80168,0.10021,0.0,5096.0,総数,,,,-,6,50,72,44,18,55,8061,63.47656,0.0,0.0,0.0,402.0,269.0,0.0,222.0,36.0,48.0,138.82115319902846,34.86237378568706,6.153795856337705,977.0,西伊豆町宇久須神田,西伊豆町宇久須神田,code_in_car30
