town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,青梅市立総合病院,医療法人社団 上長渕医会 井上医院,青梅整形外科内科,大河原森本医院,やすらぎ在宅診療所,医療法人社団 亀生会 丹生クリニック,明星会医院,医療法人社団 睦和会 下奥多摩医院,医療法人社団 東仁会 青梅腎クリニック,医療法人社団 救人会 東青梅診療所,医療法人社団 沢医会 沢井診療所,医療法人社団 瀧川メンタルクリニック,医療法人社団 厚心会 笹本医院,医療法人社団 三清会 青梅かすみ台クリニック,古里診療所,河辺駅前クリニック,医療法人社団 三秀会 青梅三慶病院,こみ内科クリニック,梅郷診療所,二俣尾診療所,荒巻医院,中島内科・循環器科クリニック,医療法人社団 平岡会 青梅医院,医療法人社団 不二会 野村医院,医療法人社団 久遠会 友田クリニック,青梅市休日夜間診療所,医療法人社団 東仁会 ひがし青梅腎クリニック,小林医院,医療法人社団 長生会 小曾木診療所,医療法人社団 真胤会 馬場内科クリニック,川辺医院,河辺皮膚科メンタルクリニック,田中医院,林レディースクリニック,医療法人財団 利定会 大久野病院,土田医院,医療法人社団 向日葵清心会 ひまわり在宅診療所,医療法人社団 長生会 成木長生病院,医療法人社団 幸悠会 鈴木慈光病院,医療法人財団 利定会 進藤医院,馬場医院,奥多摩町国民健康保険 奥多摩病院,社会福祉法人 双葉会診療所,奥多摩町 国民健康保険奥多摩病院日原診療所
青梅市梅郷六丁目,青梅市,梅郷六丁目,13205032006,7.208400006784835,139.21149438734173,35.79078046419781,579.0,648.0,373.0,179.0,121.0,0.0,484.0,249.0,230.0,86.0,490.0,98.0,0.0,0.0,0.0,120.0,0.0,84.0,1505.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
青梅市二俣尾三丁目,青梅市,二俣尾三丁目,13205034003,7.474848586694492,139.2201472921217,35.802195909992044,84.0,164.0,87.0,0.0,0.0,0.0,559.0,0.0,0.0,57.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,776.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市梅郷四丁目,青梅市,梅郷四丁目,13205032004,7.476814297195584,139.2109943024012,35.785126783793295,143.0,393.0,51.0,97.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,70.0,51.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市成木八丁目,青梅市,成木八丁目,13205042008,7.719847808591023,139.22591944374324,35.819870221118386,75.0,75.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市成木六丁目,青梅市,成木六丁目,13205042006,7.76231251929554,139.22480217566843,35.83363714517406,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市二俣尾二丁目,青梅市,二俣尾二丁目,13205034002,7.793476416784335,139.22380083014315,35.802168661513726,49.0,63.0,450.0,0.0,0.0,54.0,383.0,0.0,63.0,0.0,451.0,0.0,64.0,0.0,0.0,0.0,305.0,54.0,186.0,926.0,0.0,0.0,341.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0
日の出町大字大久野肝要・松尾・三ツ沢,日の出町,大字大久野肝要・松尾・三ツ沢,13305002008,8.089972731105853,139.20369214777227,35.76878181210742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市梅郷一丁目,青梅市,梅郷一丁目,13205032001,8.20645463918438,139.21577845646118,35.77903343432055,164.0,319.0,233.0,133.0,0.0,0.0,128.0,30.0,0.0,34.0,75.0,226.0,179.0,0.0,0.0,0.0,34.0,70.0,255.0,277.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市梅郷五丁目,青梅市,梅郷五丁目,13205032005,8.231369338521842,139.22412906170774,35.79096514117664,472.0,817.0,320.0,327.0,125.0,0.0,609.0,185.0,102.0,0.0,1062.0,50.0,0.0,0.0,0.0,45.0,43.0,40.0,2347.0,126.0,0.0,0.0,63.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,45.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市梅郷二丁目,青梅市,梅郷二丁目,13205032002,8.387209930975688,139.22229807189797,35.784663963375365,141.0,485.0,120.0,514.0,0.0,422.0,48.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,144.0,80.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市二俣尾一丁目,青梅市,二俣尾一丁目,13205034001,8.427067542804386,139.23007468796612,35.79920274350045,0.0,314.0,207.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0
奥多摩町境,奥多摩町,境,13308002010,8.501317089282406,139.048566446151,35.80261416879951,30.0,28.0,45.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0
青梅市梅郷三丁目,青梅市,梅郷三丁目,13205032003,8.530983542464194,139.22578463958723,35.78739919653669,911.0,282.0,124.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,105.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
青梅市和田町二丁目,青梅市,和田町二丁目,13205031002,8.932843501758056,139.22446966066357,35.777907569746105,241.0,437.0,324.0,126.0,0.0,202.0,245.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,277.0,133.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市日向和田三丁目,青梅市,日向和田三丁目,13205007003,9.066849374572334,139.23115296962837,35.78533524729316,50.0,46.0,0.0,184.0,0.0,0.0,260.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0
青梅市成木五丁目,青梅市,成木五丁目,13205042005,9.088712613358686,139.2403486143248,35.83027693514563,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市日向和田二丁目,青梅市,日向和田二丁目,13205007002,9.211086969004851,139.23453920030025,35.78830887656019,69.0,0.0,64.0,79.0,0.0,0.0,393.0,0.0,0.0,303.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市日向和田一丁目,青梅市,日向和田一丁目,13205007001,9.576933409771954,139.23919521655125,35.788869655590375,31.0,121.0,215.0,99.0,65.0,0.0,430.0,0.0,0.0,45.0,196.0,45.0,0.0,0.0,0.0,0.0,292.0,0.0,87.0,0.0,0.0,0.0,133.0,27.0,0.0,65.0,30.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町河内,奥多摩町,河内,13308003001,9.722862907836754,139.05135260866908,35.7708515164896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,18.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市黒沢三丁目,青梅市,黒沢三丁目,13205041003,9.792659162629079,139.24648916713343,35.801808673789665,50.0,128.0,51.0,54.0,50.0,450.0,467.0,106.0,206.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日の出町大字大久野長井,日の出町,大字大久野長井,13305002009,9.886369311449819,139.22640257231254,35.765233558793135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市裏宿町,青梅市,裏宿町,13205049000,9.917563505882105,139.2442249847656,35.79107792889045,652.0,139.0,964.0,788.0,136.0,59.0,1318.0,35.0,29.0,34.0,0.0,135.0,213.0,76.0,0.0,30.0,457.0,45.0,0.0,0.0,0.0,0.0,448.0,77.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,202.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市和田町一丁目,青梅市,和田町一丁目,13205031001,9.955980658971354,139.2340718360394,35.77301106436518,0.0,630.0,44.0,64.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市畑中三丁目,青梅市,畑中三丁目,13205030003,10.137944766119153,139.23907383742917,35.776730400637014,137.0,454.0,594.0,361.0,87.0,0.0,233.0,0.0,0.0,103.0,0.0,54.0,54.0,75.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,60.0,56.0,0.0,45.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市畑中二丁目,青梅市,畑中二丁目,13205030002,10.164144256533165,139.24248877333406,35.78170156845548,424.0,400.0,275.0,177.0,92.0,0.0,174.0,0.0,64.0,227.0,0.0,43.0,0.0,47.0,0.0,0.0,697.0,50.0,81.0,197.0,0.0,0.0,334.0,144.0,86.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0
青梅市成木四丁目,青梅市,成木四丁目,13205042004,10.269730122516867,139.25408621700439,35.824465523349645,385.0,123.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市畑中一丁目,青梅市,畑中一丁目,13205030001,10.456812599948329,139.24659121898654,35.782679016401715,84.0,946.0,318.0,290.0,78.0,0.0,86.0,292.0,38.0,0.0,0.0,44.0,0.0,43.0,0.0,0.0,189.0,0.0,79.0,0.0,0.0,134.0,180.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,40.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
青梅市天ヶ瀬町,青梅市,天ヶ瀬町,13205050000,10.48259501245203,139.2496425276679,35.78826511600094,328.0,428.0,1430.0,1884.0,105.0,190.0,1688.0,75.0,169.0,0.0,0.0,35.0,79.0,66.0,75.0,0.0,543.0,46.0,0.0,0.0,0.0,59.0,254.0,70.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,44.0,74.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0
青梅市黒沢二丁目,青梅市,黒沢二丁目,13205041002,10.511912436423398,139.25646957402336,35.81231045677944,196.0,124.0,41.0,80.0,88.0,0.0,51.0,0.0,0.0,76.0,193.0,0.0,252.0,101.0,0.0,0.0,626.0,0.0,0.0,0.0,263.0,116.0,87.0,0.0,0.0,86.0,39.0,0.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市森下町,青梅市,森下町,13205048000,10.513133499211628,139.25138391828122,35.791565908907444,266.0,48.0,539.0,865.0,46.0,0.0,948.0,43.0,0.0,0.0,0.0,43.0,141.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市大柳町,青梅市,大柳町,13205052000,10.653811548972003,139.25057918498624,35.78589658973454,529.0,562.0,1326.0,570.0,320.0,159.0,457.0,0.0,42.0,203.0,0.0,33.0,296.0,60.0,0.0,0.0,1669.0,61.0,0.0,0.0,0.0,78.0,396.0,25.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
